id,name,parent_id
793,コスメ・香水・美容,7
794,ベースメイク,7-1
795,ファンデーション,7-1-1
796,化粧下地,7-1-2
797,コントロールカラー,7-1-3
798,BBクリーム,7-1-4
799,CCクリーム,7-1-5
800,コンシーラー,7-1-6
801,フェイスパウダー,7-1-7
802,トライアルセット/サンプル,7-1-8
803,その他,7-1-9
804,メイクアップ,7-2
805,アイシャドウ,7-2-1
806,口紅,7-2-2
807,リップグロス,7-2-3
808,リップライナー,7-2-4
809,チーク,7-2-5
810,フェイスカラー,7-2-6
811,マスカラ,7-2-7
812,アイライナー,7-2-8
813,つけまつげ,7-2-9
814,アイブロウペンシル,7-2-10
815,パウダーアイブロウ,7-2-11
816,眉マスカラ,7-2-12
817,トライアルセット/サンプル,7-2-13
818,メイク道具/化粧小物,7-2-14
819,美顔用品/美顔ローラー,7-2-15
820,その他,7-2-16
821,ネイルケア,7-3
822,ネイルカラー,7-3-1
823,カラージェル,7-3-2
824,ネイルベースコート/トップコート,7-3-3
825,ネイルアート用品,7-3-4
826,ネイルパーツ,7-3-5
827,ネイルチップ/付け爪,7-3-6
828,手入れ用具,7-3-7
829,除光液,7-3-8
830,その他,7-3-9
831,香水,7-4
832,香水(女性用),7-4-1
833,香水(男性用),7-4-2
834,ユニセックス,7-4-3
835,ボディミスト,7-4-4
836,その他,7-4-5
837,スキンケア/基礎化粧品,7-5
838,化粧水/ローション,7-5-1
839,乳液/ミルク,7-5-2
840,美容液,7-5-3
841,フェイスクリーム,7-5-4
842,洗顔料,7-5-5
843,クレンジング/メイク落とし,7-5-6
844,パック/フェイスマスク,7-5-7
845,ジェル/ゲル,7-5-8
846,ブースター/導入液,7-5-9
847,アイケア,7-5-10
848,リップケア,7-5-11
849,トライアルセット/サンプル,7-5-12
850,洗顔グッズ,7-5-13
851,その他,7-5-14
852,ヘアケア,7-6
853,シャンプー,7-6-1
854,トリートメント,7-6-2
855,コンディショナー,7-6-3
856,リンス,7-6-4
857,スタイリング剤,7-6-5
858,カラーリング剤,7-6-6
859,ブラシ,7-6-7
860,その他,7-6-8
861,ボディケア,7-7
862,オイル/クリーム,7-7-1
863,ハンドクリーム,7-7-2
864,ローション,7-7-3
865,日焼け止め/サンオイル,7-7-4
866,ボディソープ,7-7-5
867,入浴剤,7-7-6
868,制汗/デオドラント,7-7-7
869,フットケア,7-7-8
870,その他,7-7-9
871,オーラルケア,7-8
872,口臭防止/エチケット用品,7-8-1
873,歯ブラシ,7-8-2
874,その他,7-8-3
875,リラクゼーション,7-9
876,エッセンシャルオイル,7-9-1
877,芳香器,7-9-2
878,お香/香炉,7-9-3
879,キャンドル,7-9-4
880,リラクゼーショングッズ,7-9-5
881,その他,7-9-6
882,ダイエット,7-10
883,ダイエット食品,7-10-1
884,エクササイズ用品,7-10-2
885,体重計,7-10-3
886,体脂肪計,7-10-4
887,その他,7-10-5
888,その他,7-11
889,健康用品,7-11-1
890,看護/介護用品,7-11-2
891,救急/衛生用品,7-11-3
892,その他,7-11-4
893,家電・スマホ・カメラ,8
894,スマートフォン/携帯電話,8-1
895,スマートフォン本体,8-1-1
896,バッテリー/充電器,8-1-2
897,携帯電話本体,8-1-3
898,PHS本体,8-1-4
899,その他,8-1-5
900,スマホアクセサリー,8-2
901,Android用ケース,8-2-1
902,iPhone用ケース,8-2-2
903,カバー,8-2-3
904,イヤホンジャック,8-2-4
905,ストラップ,8-2-5
906,フィルム,8-2-6
907,自撮り棒,8-2-7
908,その他,8-2-8
909,PC/タブレット,8-3
910,タブレット,8-3-1
911,ノートPC,8-3-2
912,デスクトップ型PC,8-3-3
913,ディスプレイ,8-3-4
914,電子ブックリーダー,8-3-5
915,PC周辺機器,8-3-6
916,PCパーツ,8-3-7
917,その他,8-3-8
918,カメラ,8-4
919,デジタルカメラ,8-4-1
920,ビデオカメラ,8-4-2
921,レンズ(単焦点),8-4-3
922,レンズ(ズーム),8-4-4
923,フィルムカメラ,8-4-5
924,防犯カメラ,8-4-6
925,その他,8-4-7
926,テレビ/映像機器,8-5
927,テレビ,8-5-1
928,プロジェクター,8-5-2
